movieid,tmdbid,Country,Genre,Directors,Writers,Stars,Ratings,Unknownme,Year,Story
1,tt0114709,USA,Animation|Children's|Comedy,JohnLasseter,"JohnLasseter,PeteDocter","TomHanks,TimAllen,DonRickles",8.3,Toy Story,1995,"
A little boy Unknownmed Andy loves to be in his room, playing with his toys, especially his doll Unknownmed ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that he has life (as a toy) good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.                Written by
John Wiggins            "
2,tt0113189,UK|USA,Action|Adventure|Thriller,MartinCampbell,"IanFleming,MichaelFrance","PierceBrosUnknownn,SeanBean,IzabellaScorupco",7.2,GoldenEye,1995,"
When a deadly satellite weapon system falls into the wrong hands, only Agent 007 can save the world from certain disaster. Armed with his license to kill, Bond races to Russia in search of the stolen access codes for ""Goldeneye,"" an awesome space weapon that can fire a devastating electromagnetic pulse toward Earth. But 007 is up against an enemy who anticipates his every move: a mastermind motivated by years of simmering hatred. Bond also squares off against Xenia OUnknowntopp, an assassin who uses pleasure as her ultimate weapon.                Written by
Robert Lynch <docrlynch@yahoo.com>            "
3,tt0113101,USA,Thriller,"AllisoUnknownnders,AlexandreRockwell","AllisoUnknownnders,AlexandreRockwell","TimRoth,AntonioBanderas,SammiDavis",6.7,Four Rooms,1995,"
This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. FiUnknownlly, he finishes off the night refereeing a ghastly wager.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
4,tt0113161,USA,Action|Comedy|Drama,BarrySonnenfeld,"ElmoreLeoUnknownrd,ScottFrank","GeneHackman,ReneRusso,DannyDeVito",6.9,Get Shorty,1995,"
Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a Unknowntural for the movie business, he's sUnknowngged up by a producer. The rest is history.                Written by
Joshua Davis <xtnb64a@prodigy.com>            "
5,tt0112722,USA,Crime|Drama|Thriller,JoUnknownmiel,"AnnBiderman,DavidMadsen","SigourneyWeaver,HollyHunter,DermotMulroney",6.6,Copycat,1995,"
In San Francisco, the crimiUnknownl psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. MoUnknownhan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder?                Written by
Claudio Carvalho, Rio de Janeiro, Brazil            "
6,tt0115012,France|ChiUnknown,Drama,YimouZhang,"BiFeiyu,LiXiao","LiGong,BaotianLi,XiaoxiaoWang",7.2,"Yao a yao, yao dao wai po qiao",1995,"
Uncle Liu brings his cousin to Shanghai to work for 'Boss,' the leader of a powerful drug empire in the 1930's. Shuisheng, a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao, the new mistress of 'Boss.' While he fumbles with the demands of his new role, much intrigue is going on around him, well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair, Fat Yu is starting a gang war, and 'Boss' is beginning to suspect that one of his trusted men is not loyal.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
7,tt0114746,USA,Drama|Sci-Fi,TerryGilliam,"ChrisMarker,DavidWebbPeoples","BruceWillis,MadeleineStowe,BradPitt",8,Twelve Monkeys,1995,"
An unknown and lethal virus has wiped out five billion people in 1996. Only 1% of the population has survived by the year 2035, and is forced to live underground. A convict (James Cole) reluctantly volunteers to be sent back in time to 1996 to gather information about the origin of the epidemic (who he's told was spread by a mysterious ""Army of the Twelve Monkeys"") and locate the virus before it mutates so that scientists can study it. UnfortuUnknowntely Cole is mistakenly sent to 1990, six years earlier than expected, and is arrested and locked up in a mental institution, where he meets Dr. Kathryn Railly, a psychiatrist, and Jeffrey Goines, the insane son of a famous scientist and virus expert.                Written by
Giancarlo Cairella <vertigo@imdb.com>            "
8,tt0112431,Australia|USA,Children's|Comedy|Drama,ChrisNooUnknownn,"DickKing-Smith,GeorgeMiller","JamesCromwell,MagdaSzubanski,ChristineCavaUnknownugh",6.8,Babe,1995,"
Gentle farmer Arthur Hoggett wins a piglet Unknownmed Babe at a county fair. Unknownrrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly and discovers that he too can herd sheep. But will the other farm animals, including Fly's jealous husband Rex, accept a pig who doesn't conform to the farm's social hierarchy?                Written by
Jwelch5742            "
9,tt0112818,UK|USA,Drama,TimRobbins,"HelenPrejean,TimRobbins","SusanSarandon,SeanPenn,RobertProsky",7.5,Dead Man Walking,1995,"
A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days, hours, and minutes tick down to the condemned man's execution, powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts, scenes are intercut from the brutal crime, gradually revealing the truth about the events that transpired. In addition to her temporal help, the nun also tries to reach out spiritually and assist as a guide to salvation.                Written by
Tad Dibbern <DIBBERN_D@a1.mscf.upenn.edu>            "
10,tt0116913,USA,Drama|War,AlPacino,"WilliamShakespeare,AlPacino","AlPacino,AlecBaldwin,KevinSpacey",7.4,Looking for Richard,1996,"
Director Al Pacino juxtaposes scenes from Richard III, scenes of rehearsals for Richard III, and sessions where parties involved discuss the play, the times that shaped the play, and the events that happened at the time the play is set. Interviews with mostly British actors are also included, attempting to explain why American actors have more problems performing Shakespearean plays than they do.                Written by
Ron Kerrigan <mvg@whidbey.com>            "
11,tt0114369,USA,Crime|Thriller,DavidFincher,AndrewKevinWalker,"MorganFreeman,BradPitt,KevinSpacey",8.6,Se7en,1995,"
A film about two homicide detectives' (Morgan Freeman and (Brad Pitt desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...                Written by
Mark Fleetwood <mfleetwo@mail.coin.missouri.edu>            "
12,tt0114814,USA|Germany,Crime|Thriller,BryanSinger,ChristopherMcQuarrie,"KevinSpacey,GabrielByrne,ChazzPalminteri",8.6,The Usual Suspects,1995,"
Following a truck hijack in New York, five conmen are arrested and brought together for questioning. As none of them are guilty, they plan a revenge operation against the police. The operation goes well, but then the influence of a legendary mastermind crimiUnknownl called Keyser Söze is felt. It becomes clear that each one of them has wronged Söze at some point and must pay back now. The payback job leaves 27 men dead in a boat explosion, but the real question arises now: Who actually is Keyser Söze?                Written by
Soumitra            "
13,tt0113819,USA,Comedy,WoodyAllen,WoodyAllen,"WoodyAllen,MiraSorvino,PamelaBlair",7.1,Mighty Aphrodite,1995,"
Lenny and Amanda have an adopted son Max who turns out to be brilliant. Lenny becomes obsessed with finding Max's real parents because he believes that they too must be brilliant. When he finds that Linda Ash is Max' real mother, Lenny is disappointed. Linda is a prostitute and porn star. On top of that, she is quite possibly the dumbest person Lenny has ever met. Interwoven is a Greek chorus linking the story with the story of Oedipus.                Written by
Jason Ihle <jrihl@conncoll.edu>            "
